SRAnum biosample_num
SRR6676764 SAMN07610165
SRR6676734 SAMN07610166
SRR6676735 SAMN07610167
SRR6676732 SAMN07610168
SRR6676733 SAMN07610169
SRR6676730 SAMN07610170
SRR6676731 SAMN07610171
SRR6676728 SAMN07610172
SRR6676729 SAMN07610173
SRR6676726 SAMN07610174
SRR6676727 SAMN07610175
SRR6676788 SAMN07610176
SRR6676787 SAMN07610177
SRR6676786 SAMN07610178
SRR6676785 SAMN07610179
SRR6676784 SAMN07610180
SRR6676783 SAMN07610181
SRR6676782 SAMN07610182
SRR6676781 SAMN07610183
SRR6676792 SAMN07610184
SRR6676791 SAMN07610185
SRR6676736 SAMN07610186
SRR6676737 SAMN07610187
SRR6676738 SAMN07610188
SRR6676739 SAMN07610189
SRR6676740 SAMN07610190
SRR6676741 SAMN07610191
SRR6676742 SAMN07610192
SRR6676743 SAMN07610193
SRR6676744 SAMN07610194
SRR6676745 SAMN07610195
SRR6676766 SAMN07610196
SRR6676768 SAMN07610198
SRR6676767 SAMN07610199
SRR6676769 SAMN07610201
SRR6676772 SAMN07610202
SRR6676771 SAMN07610203
SRR6676774 SAMN07610204
SRR6676722 SAMN07610206
SRR6676723 SAMN07610207
SRR6676789 SAMN07610210
SRR6676779 SAMN07610211
SRR6676724 SAMN07610212
SRR6676725 SAMN07610213
SRR6676712 SAMN07610214
SRR6676715 SAMN07610215
SRR6676776 SAMN07610216
SRR6676775 SAMN07610217
SRR6676790 SAMN07610218
SRR6676746 SAMN07610219
SRR6676719 SAMN07610221
SRR6676778 SAMN07610222
SRR6676777 SAMN07610223
SRR6676760 SAMN07610224
SRR6676747 SAMN07610225
SRR6676761 SAMN07610226
SRR6676717 SAMN07610227
SRR6676751 SAMN07610228
SRR6676714 SAMN07610229
SRR6676748 SAMN07610230
SRR6676750 SAMN07610232
SRR6676762 SAMN07610233
SRR6676716 SAMN07610234
SRR6676718 SAMN07610235
 SAMN07692766
 SAMN07692767
 SAMN08048870
 SAMN08998665
 SAMN08998666
 SAMN08998668
 SAMN08998669
 SAMN08998670
 SAMN08998672
 SAMN08998673
 SAMN08998674
 SAMN08998675
 SAMN09042131
 SAMN09204067
 SAMN09204068
 SAMN09204075
 SAMN09204078
 SAMN09204084
 SAMN09204085
 SAMN09204095
 SAMN09204098
 SAMN09204100
 SAMN09204101
 SAMN09204105
 SAMN09204107
 SAMN09204108
 SAMN09235818
SRR10139822 SAMN09428499
 SAMN09435809
 SAMN09435810
 SAMN09435811
 SAMN09435812
 SAMN09435813
 SAMN09435814
 SAMN09435815
 SAMN09435816
 SAMN09435817
 SAMN09435818
 SAMN09435819
 SAMN09435820
 SAMN09435821
 SAMN09435822
 SAMN09435823
 SAMN09435824
 SAMN09435825
 SAMN09435826
 SAMN09435827
 SAMN09435828
 SAMN09435829
 SAMN09435830
 SAMN09435831
 SAMN09435832
 SAMN09435833
 SAMN09435834
SRR8449983 SAMN10361137
SRR8449984 SAMN10361636
 SAMN10491323
SRR10150716 SAMN12024824
 SAMN12717233
ERR601574 SAMEA2612494
ERR601569 SAMEA2612494
ERR1341575 SAMEA3181516
ERR1341574 SAMEA3181516
ERR885455 SAMEA3181516
SRR3925721 SAMN00116754
SRR070257 SAMN00116754
SRR070256 SAMN00116754
SRR070255 SAMN00116754
SRR070254 SAMN00116754
SRR9901953 SAMN02138541
SRR850715 SAMN02138541
SRR850714 SAMN02138541
SRR850738 SAMN02138542
SRR850737 SAMN02138542
SRR850773 SAMN02138543
SRR850772 SAMN02138543
SRR850774 SAMN02138544
SRR850775 SAMN02138544
SRR850776 SAMN02138545
SRR850777 SAMN02138545
SRR9901952 SAMN02138546
SRR850779 SAMN02138546
SRR850778 SAMN02138546
SRR850781 SAMN02138547
SRR850780 SAMN02138547
SRR850785 SAMN02138549
SRR850784 SAMN02138549
SRR850695 SAMN02138550
SRR850696 SAMN02138550
SRR960872 SAMN02138552
SRR850700 SAMN02138552
SRR850701 SAMN02138552
SRR867698 SAMN02138552
SRR850703 SAMN02138553
SRR850702 SAMN02138553
SRR960869 SAMN02138608
SRR867695 SAMN02138608
SRR960870 SAMN02138610
SRR867696 SAMN02138610
SRR960871 SAMN02138614
SRR867697 SAMN02138614
SRR867693 SAMN02138616
SRR960867 SAMN02138616
SRR960868 SAMN02138617
SRR867694 SAMN02138617
SRR850617 SAMN02138629
SRR850616 SAMN02138629
SRR1010855 SAMN02356595
SRR999449 SAMN02356595
SRR1010856 SAMN02356595
SRR999450 SAMN02356595
SRR1010857 SAMN02356596
SRR999451 SAMN02356596
SRR1010858 SAMN02356596
SRR999452 SAMN02356596
SRR1010871 SAMN02356603
SRR999465 SAMN02356603
SRR1010872 SAMN02356603
SRR999466 SAMN02356603
SRR1010873 SAMN02356604
SRR999467 SAMN02356604
SRR1010874 SAMN02356604
SRR999468 SAMN02356604
SRR1010859 SAMN02356607
SRR999453 SAMN02356607
SRR1010860 SAMN02356607
SRR999454 SAMN02356607
SRR1010861 SAMN02356608
SRR999455 SAMN02356608
SRR1010862 SAMN02356608
SRR999456 SAMN02356608
SRR1187706 SAMN02356609
SRR1183662 SAMN02356609
SRR1103487 SAMN02356609
SRR999469 SAMN02356609
SRR1187816 SAMN02356609
SRR1180689 SAMN02356609
SRR1103635 SAMN02356609
SRR999470 SAMN02356609
SRR1010875 SAMN02356610
SRR999471 SAMN02356610
SRR1010876 SAMN02356610
SRR999472 SAMN02356610
SRR1010877 SAMN02356615
SRR999473 SAMN02356615
SRR1010878 SAMN02356615
SRR999474 SAMN02356615
SRR1010879 SAMN02356616
SRR999475 SAMN02356616
SRR1010880 SAMN02356616
SRR999476 SAMN02356616
SRR1010881 SAMN02356619
SRR999477 SAMN02356619
SRR1010882 SAMN02356619
SRR999478 SAMN02356619
SRR1010883 SAMN02356620
SRR999479 SAMN02356620
SRR1010884 SAMN02356620
SRR999480 SAMN02356620
SRR1010863 SAMN02356625
SRR999457 SAMN02356625
SRR1010864 SAMN02356625
SRR999458 SAMN02356625
SRR1010865 SAMN02356626
SRR999459 SAMN02356626
SRR1010866 SAMN02356626
SRR999460 SAMN02356626
SRR1010867 SAMN02356627
SRR999461 SAMN02356627
SRR1010868 SAMN02356627
SRR999462 SAMN02356627
SRR1010869 SAMN02356628
SRR999463 SAMN02356628
SRR1010870 SAMN02356628
SRR999464 SAMN02356628
SRR1010885 SAMN02356629
SRR999481 SAMN02356629
SRR1010886 SAMN02356629
SRR999482 SAMN02356629
SRR1010887 SAMN02356630
SRR999483 SAMN02356630
SRR1010888 SAMN02356630
SRR999484 SAMN02356630
SRR1187744 SAMN02581250
SRR1180986 SAMN02581250
SRR1187845 SAMN02581250
SRR1180884 SAMN02581250
SRR1187736 SAMN02581251
SRR1181052 SAMN02581251
SRR1187701 SAMN02581251
SRR1180739 SAMN02581251
SRR1187779 SAMN02581254
SRR1181053 SAMN02581254
SRR1187717 SAMN02581254
SRR1180909 SAMN02581254
SRR1187833 SAMN02581287
SRR1180917 SAMN02581287
SRR1187818 SAMN02581287
SRR1180908 SAMN02581287
SRR1187756 SAMN02581288
SRR1181027 SAMN02581288
SRR1187721 SAMN02581288
SRR1180905 SAMN02581288
SRR1204052 SAMN02581381
SRR1197698 SAMN02581381
SRR1204018 SAMN02581381
SRR1196741 SAMN02581381
SRR1204024 SAMN02581385
SRR1196975 SAMN02581385
SRR1203976 SAMN02581385
SRR1196828 SAMN02581385
SRR1204015 SAMN02581386
SRR1197664 SAMN02581386
SRR1203936 SAMN02581386
SRR1196770 SAMN02581386
SRR1204011 SAMN02581393
SRR1197686 SAMN02581393
SRR1203969 SAMN02581393
SRR1196694 SAMN02581393
SRR1206027 SAMN02581394
SRR1196967 SAMN02581394
SRR1203949 SAMN02581394
SRR1196853 SAMN02581394
SRR9900606 SAMN03280171
SRR2131442 SAMN03280171
SRR2135504 SAMN03280171
SRR2127886 SAMN03280171
SRR2127588 SAMN03280171
SRR2135209 SAMN03280172
SRR2131778 SAMN03280172
SRR2127670 SAMN03280172
SRR2127477 SAMN03280172
SRR2127712 SAMN03280173
SRR2131828 SAMN03280173
SRR2127682 SAMN03280173
SRR2127656 SAMN03280173
SRR9214032 SAMN03280175
SRR2135272 SAMN03280175
SRR2135189 SAMN03280175
SRR2127724 SAMN03280175
SRR2127311 SAMN03280175
SRR2135114 SAMN03280176
SRR2135059 SAMN03280176
SRR2127611 SAMN03280176
SRR2127610 SAMN03280176
SRR2135169 SAMN03280177
SRR2135248 SAMN03280177
SRR2127784 SAMN03280177
SRR2127445 SAMN03280177
SRR2135100 SAMN03280179
SRR2131775 SAMN03280179
SRR2127293 SAMN03280179
SRR2127896 SAMN03280179
SRR2135241 SAMN03280180
SRR2131472 SAMN03280180
SRR2127534 SAMN03280180
SRR2127322 SAMN03280180
SRR2135483 SAMN03280181
SRR2135472 SAMN03280181
SRR2127826 SAMN03280181
SRR2127618 SAMN03280181
SRR2135046 SAMN03280182
SRR2131400 SAMN03280182
SRR2127738 SAMN03280182
SRR2127742 SAMN03280182
SRR9214058 SAMN03280183
SRR2135445 SAMN03280183
SRR2135471 SAMN03280183
SRR2127631 SAMN03280183
SRR2127331 SAMN03280183
SRR2135149 SAMN03280184
SRR2135077 SAMN03280184
SRR2127492 SAMN03280184
SRR2127462 SAMN03280184
SRR2135476 SAMN03280185
SRR2135215 SAMN03280185
SRR2127665 SAMN03280185
SRR2127304 SAMN03280185
SRR2135464 SAMN03280186
SRR2127476 SAMN03280186
SRR2127556 SAMN03280186
SRR2127437 SAMN03280186
SRR9214086 SAMN03280187
SRR2135170 SAMN03280187
SRR2135179 SAMN03280187
SRR2127847 SAMN03280187
SRR2127737 SAMN03280187
SRR2135242 SAMN03280188
SRR2131448 SAMN03280188
SRR2127654 SAMN03280188
SRR2127796 SAMN03280188
SRR9214036 SAMN03280189
SRR2135487 SAMN03280189
SRR2135488 SAMN03280189
